pair_id,commission_a_bps,commission_h_bps,stamp_duty_a_bps,stamp_duty_h_bps,slippage_bps,commission_a_buy_bps,commission_a_sell_bps,commission_h_buy_bps,commission_h_sell_bps,stamp_duty_a_buy_bps,stamp_duty_a_sell_bps,stamp_duty_h_buy_bps,stamp_duty_h_sell_bps,slippage_a_buy_bps,slippage_a_sell_bps,slippage_h_buy_bps,slippage_h_sell_bps,borrow_bps,commission_total_bps,stamp_total_bps,slippage_total_bps,total_cost_level_bps,net_cagr,net_sharpe,max_dd,breakeven_total_cost,breakeven_slippage,worst_case_net_dd,breakeven_cost_level
600036.SS-3968.HK,0.0,4.0,0.0,10.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,28.0,-0.06236037290981877,-0.2308237691059999,-0.28585830996694606,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,0.0,4.0,5.0,5.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,28.0,-0.06236037290981877,-0.2308237691059999,-0.28585830996694606,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,0.0,4.0,10.0,0.0,0.0,0.0,0.0,4.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,28.0,-0.06236037290981877,-0.2308237691059999,-0.28585830996694606,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,8.0,0.0,20.0,28.0,-0.06236037290981877,-0.2308237691059999,-0.28585830996694606,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,2.0,2.0,0.0,10.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,28.0,-0.06236037290981877,-0.2308237691059999,-0.28585830996694606,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,2.0,2.0,5.0,5.0,0.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,28.0,-0.06236037290981877,-0.2308237691059999,-0.28585830996694606,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,2.0,2.0,10.0,0.0,0.0,2.0,2.0,2.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,28.0,-0.06236037290981877,-0.2308237691059999,-0.28585830996694606,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,2.0,2.0,0.0,0.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,8.0,0.0,20.0,28.0,-0.06236037290981877,-0.2308237691059999,-0.28585830996694606,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,4.0,0.0,0.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,28.0,-0.06236037290981877,-0.2308237691059999,-0.28585830996694606,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,4.0,10.0,0.0,0.0,0.0,4.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,-0.06236037290981877,-0.2308237691059999,-0.28585830996694606,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,4.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,28.0,-0.06236037290981877,-0.2308237691059999,-0.28585830996694606,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,4.0,0.0,10.0,0.0,0.0,4.0,4.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,28.0,-0.06236037290981877,-0.2308237691059999,-0.28585830996694606,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,4.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,8.0,0.0,20.0,28.0,-0.06236037290981877,-0.2308237691059999,-0.28585830996694606,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,6.0,8.0,0.0,0.0,0.0,6.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,-0.06236037290981877,-0.2308237691059999,-0.28585830996694606,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,8.0,6.0,0.0,0.0,0.0,8.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,-0.06236037290981877,-0.2308237691059999,-0.28585830996694606,0.0,0.0,-0.2929045492532424,0.0
600036.SS-3968.HK,10.0,4.0,0.0,0.0,0.0,10.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,-0.06236037290981877,-0.2308237691059999,-0.28585830996694606,0.0,0.0,-0.2929045492532424,0.0
